t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
0.000000000000000000e+00,-2.545308778298283011e-21,-1.570796326794816622e+00,3.525588624044043097e-13,-8.596528420022062439e-19,4.085181545425340078e-12,1.762794671089644571e-11,3.226850810695137738e-16,-1.478695981049355179e+00,-1.478695981046456831e+00
1.016116142272949219e-02,-4.578430393746563629e-21,-1.570796326794776654e+00,5.288382867924644364e-13,-1.437298203091582406e-18,4.085181500935412252e-12,1.762794237077576013e-11,7.658398373315271829e-16,-1.478695981054261699e+00,-1.478695981049838126e+00
2.076053619384765625e-02,1.579000505653234222e-21,-1.570796326794736686e+00,7.051176955552786820e-13,1.570760413907038967e-18,4.085185037383905773e-12,1.762793526035560999e-11,-7.114601991906033607e-16,-1.478695981059154008e+00,-1.478695981053212982e+00
3.552651405334472656e-02,8.972974174833431900e-21,-1.570796326794696718e+00,8.813971207567626968e-13,1.178397054547250753e-18,4.085184138694781345e-12,1.762794384078824721e-11,-6.594610966850736225e-16,-1.478695981064057197e+00,-1.478695981056592723e+00
4.722762107849121094e-02,1.189990610369457710e-20,-1.570796326794656750e+00,1.057676556585934711e-12,1.061361966092049334e-18,4.085183942855325227e-12,1.762793807426771353e-11,2.159097204471981899e-16,-1.478695981068964604e+00,-1.478695981059972908e+00
5.795264244079589844e-02,1.214331772658218289e-20,-1.570796326794616782e+00,1.233955976766075060e-12,4.380945884205110890e-19,4.085184197300866210e-12,1.762794068541511116e-11,-5.281253981936870116e-16,-1.478695981073864241e+00,-1.478695981063351539e+00
6.764531135559082031e-02,1.542430244927089741e-20,-1.570796326794576814e+00,1.410235411622159254e-12,9.998816753794757038e-19,4.085183662990881066e-12,1.762794304761731741e-11,5.215389564608492877e-18,-1.478695981078769428e+00,-1.478695981066730836e+00
7.832765579223632812e-02,2.032080280844753298e-20,-1.570796326794536846e+00,1.586514827028098057e-12,2.454555720448361889e-18,4.085185469725222812e-12,1.762794203912031724e-11,6.829359662387521713e-17,-1.478695981083670841e+00,-1.478695981070109688e+00
8.784389495849609375e-02,2.642160528944633507e-20,-1.570796326794496878e+00,1.762794241856638942e-12,-2.805657305506475138e-19,4.085182940644228868e-12,1.762794417051217167e-11,-2.954055303224561820e-16,-1.478695981088572697e+00,-1.478695981073487653e+00
9.783482551574707031e-02,2.802739887832446814e-20,-1.570796326794456910e+00,1.939073672982577811e-12,5.171177037536830227e-19,4.085183616893514320e-12,1.762794244989600255e-11,2.133675806131746751e-16,-1.478695981093478773e+00,-1.478695981076868726e+00
1.090514659881591797e-01,2.889107305281615452e-20,-1.570796326794416942e+00,2.115353108845957965e-12,6.479833356574052433e-19,4.085185045551500066e-12,1.762794120846312274e-11,-5.226944675959651299e-16,-1.478695981098376189e+00,-1.478695981080245581e+00
