t,q1,q2,q3,qd1,qd2,qd3,tau1,tau2,tau3
1.833441257476806641e-01,5.802316763820362866e-20,-1.570796326794137165e+00,3.349309062622834561e-12,2.730107436343192054e-18,4.085185453387457365e-12,1.762793927186677080e-11,-3.393483602129914401e-16,-1.478695981132694959e+00,-1.478695981103899326e+00
1.941144466400146484e-01,6.514063090612271737e-20,-1.570796326794097197e+00,3.525588480270841365e-12,-2.519513717159107480e-19,4.085182192275752528e-12,1.762794532946106618e-11,5.908438360106105459e-16,-1.478695981137604143e+00,-1.478695981107280399e+00
2.036893367767333984e-01,6.705899396865916536e-20,-1.570796326794057229e+00,3.701867895112073294e-12,8.953628991108842306e-19,4.085184481790255699e-12,1.762793611146428292e-11,5.306210109874887325e-16,-1.478695981142508442e+00,-1.478695981110661029e+00
2.144882678985595703e-01,7.122152953175044961e-20,-1.570796326794017261e+00,3.878147318198919853e-12,1.276768461994656807e-20,4.085183499014198385e-12,1.762794341390319040e-11,-8.753323030496127500e-17,-1.478695981147404082e+00,-1.478695981114036329e+00
2.240824699401855469e-01,7.419230895707945352e-20,-1.570796326793977293e+00,4.054426740988478184e-12,-5.276920159857654523e-19,4.085182170216339201e-12,1.762794891070988220e-11,-8.290609466068835658e-16,-1.478695981152301053e+00,-1.478695981117412961e+00
2.338070869445800781e-01,7.109639704020470127e-20,-1.570796326793937325e+00,4.230706179516710750e-12,4.138627201166822775e-19,4.085184806302764586e-12,1.762794422333463312e-11,-7.990568043857130220e-16,-1.478695981157204242e+00,-1.478695981120792036e+00
2.438733577728271484e-01,7.264209473094633310e-20,-1.570796326793897357e+00,4.406985601565154027e-12,1.715704128712143451e-18,4.085184590341934888e-12,1.762793715275074518e-11,-1.972366904405557716e-16,-1.478695981162112982e+00,-1.478695981124174441e+00
2.555096149444580078e-01,7.607007589467839788e-20,-1.570796326793857389e+00,4.583265013388859758e-12,3.969049989558752306e-19,4.085183775657802382e-12,1.762793985210265396e-11,-5.219495180461207322e-17,-1.478695981167014617e+00,-1.478695981127551962e+00
2.660653591156005859e-01,7.753805177220882141e-20,-1.570796326793817421e+00,4.759544438438956493e-12,3.774771739104202771e-19,4.085184363435251134e-12,1.762794284662311082e-11,3.855091719248312370e-16,-1.478695981171920693e+00,-1.478695981130932813e+00
2.752983570098876953e-01,7.497293775034303210e-20,-1.570796326793777453e+00,4.935823873423053753e-12,1.089605895434688311e-19,4.085183334027099237e-12,1.762794325812273102e-11,2.105247484061870540e-16,-1.478695981176821661e+00,-1.478695981134311443e+00
2.855765819549560547e-01,7.250615124567288022e-20,-1.570796326793737485e+00,5.112103309382820239e-12,-9.083822675685874789e-19,4.085182672848351459e-12,1.762794420750486481e-11,5.173648876764008326e-17,-1.478695981181723962e+00,-1.478695981137690074e+00
2.957470417022705078e-01,7.143707221922504581e-20,-1.570796326793697517e+00,5.288382723729935747e-12,-9.258682917806291686e-19,4.085180805354179177e-12,1.762794614880427168e-11,1.233818190676836672e-15,-1.478695981186633590e+00,-1.478695981141071591e+00
3.070776462554931641e-01,6.997323586367257070e-20,-1.570796326793657549e+00,5.464662158543621684e-12,1.663364749223777639e-18,4.085183629100723491e-12,1.762793963262914848e-11,1.102455200778816583e-15,-1.478695981191533448e+00,-1.478695981144449556e+00
3.172969818115234375e-01,7.227645204661946768e-20,-1.570796326793617581e+00,5.640941585791753796e-12,6.671470845039929932e-19,4.085183745643712991e-12,1.762794422790266696e-11,-3.884996418850217554e-16,-1.478695981196426645e+00,-1.478695981147825300e+00
3.280408382415771484e-01,6.950368263649401115e-20,-1.570796326793577613e+00,5.817221022536223877e-12,-8.127332003743858032e-20,4.085182406807132540e-12,1.762794449837518209e-11,8.560925045281519372e-16,-1.478695981201338494e+00,-1.478695981151207484e+00
3.384408950805664062e-01,7.044037355746088142e-20,-1.570796326793537645e+00,5.993500459087998842e-12,-8.636474086557370531e-19,4.085182745076358602e-12,1.762794527997806857e-11,-4.931372219186040593e-17,-1.478695981206236576e+00,-1.478695981154585226e+00
3.493506908416748047e-01,7.442060966473175296e-20,-1.570796326793497677e+00,6.169779886068863566e-12,6.393859951867441367e-19,4.085184085641092220e-12,1.762794482497685194e-11,-4.241869320893218292e-16,-1.478695981211133548e+00,-1.478695981157961192e+00
3.604238033294677734e-01,7.813639929268123182e-20,-1.570796326793457709e+00,6.346059303642143407e-12,8.651649482298544423e-20,4.085183219101227640e-12,1.762794415560236068e-11,-1.041424523573227752e-16,-1.478695981216039845e+00,-1.478695981161342266e+00
3.696386814117431641e-01,7.804491326273958952e-20,-1.570796326793417741e+00,6.522338744496071813e-12,-1.159081978500592682e-19,4.085183799598813303e-12,1.762794345304999433e-11,6.453769650254620647e-16,-1.478695981220949252e+00,-1.478695981164724005e+00
3.820619583129882812e-01,8.470767651681558222e-20,-1.570796326793377773e+00,6.698618154055181593e-12,1.635813090486179202e-18,4.085183843151256304e-12,1.762793796675036069e-11,4.129475701295682132e-16,-1.478695981225849110e+00,-1.478695981168102414e+00
3.918769359588623047e-01,8.289750212840691995e-20,-1.570796326793337805e+00,6.874897583107994811e-12,-5.930830829446544678e-19,4.085182125631474629e-12,1.762794749759164345e-11,-5.172907306618551249e-16,-1.478695981230745415e+00,-1.478695981171478380e+00
4.041042327880859375e-01,8.409893899311852508e-20,-1.570796326793297837e+00,7.051177012698623254e-12,-7.339410699766111173e-19,4.085182780448041890e-12,1.762794364850422016e-11,6.006066243355415992e-17,-1.478695981235652823e+00,-1.478695981174859453e+00
4.146823883056640625e-01,8.017363199981284449e-20,-1.570796326793257869e+00,7.227456457945227256e-12,3.138207180246488152e-19,4.085182644852696661e-12,1.762794297212494699e-11,5.414734427076513357e-16,-1.478695981240556900e+00,-1.478695981178238972e+00
4.271049499511718750e-01,7.712552571053065028e-20,-1.570796326793217901e+00,7.403735889444606466e-12,5.989169761630764321e-20,4.085184129528737240e-12,1.762794452126356691e-11,-9.849917270762116372e-16,-1.478695981245449875e+00,-1.478695981181614272e+00
4.403798580169677734e-01,8.029855085782897979e-20,-1.570796326793177933e+00,7.580015307237930890e-12,1.776651920289798936e-18,4.085185799374535420e-12,1.762793705815785677e-11,5.197487473294124221e-16,-1.478695981250363500e+00,-1.478695981184998232e+00
4.506635665893554688e-01,8.289953901583274732e-20,-1.570796326793137965e+00,7.756294738632217772e-12,-1.299564707050508338e-18,4.085181859088846934e-12,1.762794334039986300e-11,8.726604973017274768e-16,-1.478695981255267800e+00,-1.478695981188377306e+00
4.623415470123291016e-01,8.149527654282676455e-20,-1.570796326793097997e+00,7.932574168700262714e-12,-3.484095475649857283e-19,4.085183790781867688e-12,1.762794234872322194e-11,2.379704478025917766e-16,-1.478695981260166770e+00,-1.478695981191755049e+00
4.729039669036865234e-01,8.065050263592276833e-20,-1.570796326793058029e+00,8.108853603730268498e-12,1.366777748360676935e-18,4.085184795110025390e-12,1.762794320365353069e-11,-7.126498256202082473e-17,-1.478695981265064852e+00,-1.478695981195131903e+00
4.845740795135498047e-01,8.411907294848711069e-20,-1.570796326793018061e+00,8.285133031887949508e-12,2.990353536942682315e-19,4.085184428258248576e-12,1.762794259417870311e-11,2.182837992347269974e-17,-1.478695981269970261e+00,-1.478695981198512310e+00
